set F := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 ;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 ;
param: b q := 
0  496  296
1  173  259
2  396  370
3  160  333
4  115  37
5  123  37
6  156  222
7  397  111
8  183  148
9  417  37
10  274  333
11  123  185
12  259  37
13  308  259
14  472  296
15  342  296
16  380  148
17  451  111
18  225  333
19  199  333
20  130  370
21  136  111
22  474  370
23  144  74
24  424  333
25  354  111
26  320  222
27  340  370
28  386  222
29  104  370
30  108  259
31  296  370
32  340  222
33  486  296
34  252  222
35  404  74
36  254  111
37  412  333
38  478  259
39  160  37
40  379  74
41  432  111
42  333  111
43  228  259
44  472  185
45  335  370
46  352  74
47  401  148
48  370  370
49  240  333
;
param d := 
0  82
1  86
2  63
3  68
4  94
5  69
6  50
7  62
8  83
9  80
10  51
11  84
12  97
13  68
14  95
15  58
16  81
17  99
18  59
19  54
20  94
21  98
22  84
23  84
24  77
25  63
26  76
27  94
28  93
29  85
30  67
31  63
32  93
33  99
34  57
35  98
36  81
37  58
38  59
39  62
40  52
41  85
42  69
43  84
44  98
45  54
46  60
47  76
48  73
49  63
50  77
51  99
52  56
53  81
54  51
55  77
56  60
57  97
58  98
59  79
60  88
61  73
62  88
63  59
64  52
65  91
66  57
67  61
68  88
69  56
70  71
71  99
72  59
73  56
74  50
75  93
76  79
77  73
78  86
79  98
80  69
81  77
82  73
83  65
84  70
85  56
86  68
87  92
88  83
89  67
90  93
91  54
92  91
93  60
94  75
95  56
96  61
97  80
98  75
99  95
;
param c : 0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64   65   66   67   68   69   70   71   72   73   74   75   76   77   78   79   80   81   82   83   84   85   86   87   88   89   90   91   92   93   94   95   96   97   98   99   :=
