set F := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 ;
param: b q := 
0  477  84
1  460  210
2  370  42
3  203  336
4  205  294
5  177  42
6  101  210
7  188  378
8  410  84
9  479  210
10  104  378
11  368  336
12  383  84
13  468  84
14  335  168
15  130  336
16  480  294
17  238  294
18  273  420
19  194  126
;
param d := 
0  63
1  50
2  78
3  64
4  83
5  81
6  90
7  57
8  71
9  91
10  92
11  56
12  82
13  53
14  72
15  59
16  96
17  65
18  53
19  87
20  56
21  74
22  85
23  96
24  89
25  55
26  85
27  82
28  95
29  96
30  50
31  76
32  55
33  99
34  88
35  61
36  84
37  53
38  75
39  63
;
param c : 0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   :=
0   43   11   28   40   26   19   46   14   40   24   28   22   37   13   35   40   32   23   48   46   35   25   33   19   47   37   37   27   27   28   43   24   20   45   13   24   18   14   47   10  
1   25   22   42   33   33   16   25   22   43   40   35   37   38   49   39   11   13   46   19   20   21   31   17   39   20   17   20   20   39   26   12   43   34   42   10   45   34   12   36   29  
2   43   19   42   17   46   30   39   43   23   12   30   26   14   31   22   31   28   23   26   25   47   42   49   48   19   45   23   48   25   23   27   15   12   22   44   11   44   36   45   48  
3   18   41   36   14   42   21   21   45   20   38   39   43   11   43   28   30   31   11   13   40   22   35   44   19   29   18   30   36   18   18   43   13   41   27   37   40   25   46   15   19  
4   25   36   34   17   24   35   21   22   11   14   15   10   20   23   34   43   48   10   36   17   39   29   45   18   27   21   32   19   47   19   18   28   30   33   25   13   20   16   45   25  
5   44   37   41   22   35   43   38   45   18   46   20   45   18   40   29   25   29   41   26   38   16   33   46   16   16   35   37   10   36   34   35   30   49   34   10   37   19   30   46   25  
6   48   45   20   46   39   22   29   37   31   22   20   25   41   41   27   31   24   34   47   27   40   24   49   37   47   20   13   31   16   28   11   47   17   32   10   17   34   19   34   41  
7   11   22   18   24   24   32   34   21   24   28   40   22   25   10   38   36   28   43   12   17   40   19   42   47   28   29   24   11   46   14   15   10   12   26   46   26   45   35   30   27  
8   19   45   46   49   20   10   13   36   14   20   49   21   19   42   12   33   34   24   26   38   21   44   34   19   31   18   28   10   38   48   36   37   22   47   16   20   14   49   22   15  
9   38   21   17   20   17   25   22   12   37   44   48   29   45   30   27   19   29   15   26   19   23   22   43   48   48   13   40   41   33   24   22   46   17   20   14   12   26   36   25   27  
10  12   49   42   18   49   44   21   24   30   46   28   16   27   46   29   45   48   46   19   33   15   13   44   46   16   33   35   20   19   10   18   46   17   35   22   44   47   29   11   33  
11  43   45   46   30   13   44   34   16   47   16   37   42   36   13   34   48   31   16   36   35   20   21   21   27   33   42   47   41   39   46   41   45   31   24   25   34   13   18   30   15  
12  12   23   31   35   32   34   43   11   18   24   45   35   35   43   24   12   37   49   26   23   45   46   36   10   12   43   36   21   22   11   25   21   21   11   36   10   31   21   47   20  
13  35   16   11   21   14   47   39   10   31   23   25   38   48   31   15   32   44   37   27   36   29   35   39   24   12   26   12   49   27   35   37   19   15   29   27   44   46   26   26   40  
14  47   25   45   25   21   35   47   31   47   12   31   31   30   46   37   47   17   32   21   47   10   43   25   28   14   43   38   20   41   21   33   42   46   10   37   35   16   49   31   18  
15  20   13   30   25   35   28   34   17   12   26   48   20   29   16   11   44   10   36   24   29   29   22   24   40   13   32   26   31   33   22   24   11   32   30   22   24   19   17   16   12  
16  32   30   28   25   17   41   44   21   38   38   31   40   44   35   30   22   45   15   33   21   40   17   29   49   35   35   28   21   15   28   45   26   16   49   41   29   45   22   15   46  
17  20   30   45   49   16   35   17   14   31   47   45   26   14   21   29   45   43   43   30   12   16   45   41   15   21   17   18   22   39   31   15   31   11   35   42   28   26   10   31   12  
18  10   40   13   27   11   34   10   25   44   27   14   31   49   45   32   20   30   31   37   31   33   43   20   30   13   43   32   30   38   46   11   23   19   17   43   28   48   14   15   16  
19  16   36   22   39   22   33   48   33   28   39   25   14   38   31   40   16   25   47   27   40   22   49   22   37   44   28   12   25   24   20   44   48   49   24   42   35   34   34   44   21  
;
end;
