76 81 87 74 98 93 58 99 64 78 83 72 63 77 77 76 88 79 89 59 
400 50 50 250 150 100 100 450 500 300 
240 212 445 263 267 253 321 284 186 374 
33 37 23 12 29 20 29 37 34 37 31 11 39 43 27 15 35 20 10 31 
29 33 15 27 28 18 12 32 24 38 46 47 14 15 29 48 34 20 17 38 
15 19 19 38 36 10 15 33 32 19 33 10 29 13 31 46 23 14 11 28 
31 23 49 11 37 42 26 20 49 40 38 38 46 27 47 25 32 31 43 22 
17 33 21 13 27 15 29 34 36 45 25 40 41 19 38 12 21 10 36 39 
26 34 20 18 15 27 25 46 40 29 26 10 43 27 21 13 34 13 41 20 
30 27 47 24 23 41 39 10 49 45 30 18 27 49 47 48 13 12 42 41 
36 38 43 22 32 35 21 16 46 44 39 49 18 35 49 28 12 30 23 28 
44 36 49 18 37 35 24 39 47 42 22 34 18 33 25 20 31 20 31 23 
29 28 13 10 20 37 11 48 38 49 32 22 22 14 10 47 39 23 40 31 
