97 92 87 93 60 67 67 66 53 78 90 83 62 60 83 97 61 51 98 59 59 57 70 94 74 84 86 97 52 59 
108 243 216 108 162 135 189 243 54 243 189 270 27 243 108 243 81 189 108 189 
186 454 480 284 318 300 146 107 286 270 165 137 484 498 446 321 158 128 336 431 
26 34 20 25 46 22 12 37 46 18 43 19 11 23 49 29 14 18 15 36 24 40 36 16 34 34 34 16 15 20 
11 13 25 48 32 29 42 42 23 28 33 21 23 27 11 22 22 49 16 35 10 15 45 21 32 22 47 27 41 14 
37 23 34 15 24 43 48 27 25 18 20 27 44 15 25 23 33 35 39 43 40 32 20 30 43 10 14 40 17 47 
40 23 33 44 13 43 22 36 44 49 19 15 17 38 12 15 22 28 48 30 37 33 48 41 36 49 21 47 49 17 
30 16 23 28 42 22 38 15 44 43 25 20 19 15 30 44 17 40 10 36 39 46 15 15 18 23 18 32 40 15 
31 19 36 14 28 29 10 16 23 23 29 23 30 42 40 37 22 42 35 49 38 13 49 46 46 24 14 18 38 42 
29 21 18 15 10 26 20 32 25 48 37 27 36 28 27 36 15 23 14 26 35 42 43 49 25 23 28 18 28 18 
19 11 26 16 20 40 46 47 29 22 11 15 37 28 47 34 24 49 37 22 49 20 20 11 45 28 18 36 20 35 
47 15 33 23 29 31 38 28 47 46 11 19 38 39 23 48 38 22 33 15 18 23 25 38 20 39 45 42 13 36 
48 39 28 26 34 47 29 13 47 41 25 20 28 34 24 10 35 17 35 29 20 20 32 14 27 11 15 35 49 44 
19 13 46 12 21 15 41 35 23 47 45 37 48 49 15 19 47 46 43 10 22 37 43 49 27 24 43 22 35 21 
49 40 12 17 47 14 39 33 43 18 40 30 41 33 31 40 39 23 20 41 30 22 11 11 45 49 38 44 35 35 
39 40 19 13 36 35 48 33 14 25 21 21 47 47 20 44 44 49 44 28 31 22 18 28 32 48 14 29 18 20 
26 18 17 12 21 42 37 31 21 25 14 29 35 16 31 45 38 19 15 49 29 40 25 33 22 13 47 21 15 23 
15 39 41 42 29 18 32 25 48 20 48 13 48 42 13 32 28 28 19 13 31 29 15 30 39 21 24 21 21 29 
35 13 27 44 37 45 28 32 44 10 20 27 19 40 20 28 35 34 49 20 29 17 26 11 49 40 35 43 31 18 
15 39 49 47 12 25 27 29 21 13 17 36 48 26 15 23 26 19 34 30 38 41 13 45 30 18 21 38 41 36 
18 13 21 20 38 34 34 17 46 19 40 15 39 42 37 39 12 38 35 25 48 27 24 12 35 48 33 13 20 32 
15 23 39 23 17 13 37 36 46 17 21 48 30 47 37 48 10 15 40 30 28 35 47 25 45 11 17 39 49 20 
40 17 41 16 18 13 20 47 43 34 23 31 20 16 14 11 21 27 15 19 38 29 36 28 24 25 16 28 42 16 
