66 54 65 82 54 92 80 53 76 88 59 83 70 62 52 83 76 63 56 79 53 62 62 97 82 67 78 92 73 93 68 85 86 55 94 51 54 98 89 74 
164 328 369 205 82 164 328 205 205 123 205 287 123 82 410 410 164 287 82 123 
105 315 221 216 381 260 125 423 202 297 412 131 473 439 400 188 323 158 471 475 
32 18 16 36 37 17 36 36 44 17 16 22 46 38 28 19 13 35 29 35 23 26 44 36 39 26 32 45 34 21 17 38 20 49 35 46 15 33 24 22 
11 24 31 10 19 39 17 37 22 41 41 44 24 29 43 22 45 46 41 26 17 12 31 30 41 42 44 18 41 49 13 35 35 47 39 29 20 45 12 42 
34 48 36 48 17 39 13 25 21 26 15 37 25 28 40 47 21 22 47 45 49 21 47 48 49 17 23 42 14 21 18 19 37 17 26 26 12 28 16 17 
33 13 46 38 22 38 20 41 31 36 10 30 13 43 25 24 11 48 32 29 39 21 34 36 27 29 27 27 21 23 23 27 15 13 34 36 12 30 32 14 
16 23 10 48 30 29 39 35 35 17 33 21 32 23 38 43 25 16 36 30 43 23 26 39 32 40 16 28 31 41 33 42 24 23 19 24 38 29 28 44 
30 29 27 43 16 33 16 42 42 39 31 41 46 16 13 11 11 27 43 32 19 22 49 29 14 12 45 12 31 10 28 22 17 15 33 16 38 18 48 47 
26 25 18 22 23 32 14 40 13 22 31 35 44 19 47 15 32 39 45 40 22 15 37 40 22 44 43 16 36 42 22 45 10 37 23 47 10 21 30 29 
45 14 47 13 20 10 26 13 28 44 32 10 32 23 36 28 40 45 24 20 38 24 35 42 32 18 21 32 32 19 26 40 46 39 45 10 32 38 18 33 
49 40 10 11 13 40 40 12 37 27 33 40 12 33 38 43 13 32 13 47 22 45 29 12 26 46 40 40 27 35 12 15 29 30 20 38 43 25 19 38 
21 28 42 44 35 20 16 17 16 46 13 39 49 11 18 31 37 34 49 46 46 25 17 43 30 12 30 44 30 42 26 24 10 32 44 17 46 10 40 12 
25 12 43 24 15 11 13 10 25 16 37 31 22 34 41 44 26 25 33 29 25 43 29 32 32 31 12 26 24 22 19 28 22 25 33 17 13 24 35 37 
18 30 28 44 14 22 18 42 35 17 38 39 32 13 24 21 34 44 43 12 48 40 13 20 28 35 42 44 42 22 34 43 41 36 27 31 22 45 25 47 
10 28 43 37 22 28 21 27 23 32 40 26 38 20 49 30 45 41 24 27 39 26 22 26 25 46 46 12 48 12 16 17 18 31 29 41 25 48 22 30 
37 42 30 25 22 24 33 31 17 14 17 46 19 29 38 43 34 15 49 21 20 19 35 11 31 24 35 23 34 29 31 15 18 19 32 10 12 12 18 40 
23 47 30 29 43 11 18 31 17 35 36 37 23 27 15 41 11 20 40 22 42 41 30 36 18 37 23 27 23 35 15 43 38 40 48 28 48 33 16 18 
35 33 18 27 36 29 32 35 14 17 47 33 18 48 14 35 18 18 26 34 25 38 32 46 40 27 36 47 43 44 44 47 18 10 36 28 40 38 45 35 
22 38 40 27 38 14 46 10 38 48 48 33 35 38 42 22 24 23 44 37 40 10 10 39 19 15 28 39 17 29 46 49 47 12 14 49 32 33 34 45 
15 24 48 14 13 18 14 23 24 32 23 28 24 31 13 16 32 34 35 32 14 12 38 40 13 35 42 15 44 45 46 28 42 35 15 18 38 45 30 47 
10 12 38 23 11 46 40 23 30 29 41 36 31 36 27 36 40 31 20 38 31 37 20 25 35 16 15 29 15 22 27 40 23 17 13 17 22 18 45 16 
40 25 10 23 43 28 11 42 28 20 13 37 12 25 33 31 35 14 17 47 43 43 27 17 10 37 26 14 20 10 22 13 22 48 34 39 35 16 17 47 
