86 61 95 99 77 67 67 61 90 75 64 94 54 74 93 73 68 55 89 75 73 80 66 74 59 90 69 56 79 86 
336 56 336 560 168 560 224 560 168 392 
417 130 274 386 286 168 466 303 381 199 
15 39 47 18 31 42 42 30 12 22 34 27 18 25 22 12 33 22 48 16 20 21 12 15 10 46 32 35 14 47 
34 29 11 13 16 35 41 11 49 30 39 17 10 13 34 35 27 47 24 11 40 35 25 44 20 26 47 27 36 24 
40 32 33 42 37 23 36 23 45 32 28 11 33 34 27 30 13 38 39 49 22 20 44 36 27 32 38 16 30 34 
32 27 49 26 16 35 11 41 32 22 46 22 40 23 27 43 47 37 15 18 46 36 30 46 24 39 48 36 38 22 
38 10 28 32 10 43 22 34 18 37 40 44 15 16 12 25 14 13 23 42 30 44 26 35 43 36 37 27 43 47 
12 21 19 48 38 28 12 41 28 47 40 22 14 15 46 47 23 14 43 40 39 39 41 23 39 47 25 20 21 43 
38 13 12 31 36 27 28 47 27 26 27 34 37 22 21 47 45 12 11 13 19 39 39 37 21 15 18 21 42 28 
15 42 44 43 14 35 18 10 48 13 30 34 12 20 23 42 17 24 44 45 18 15 26 25 42 37 35 43 41 46 
12 34 36 26 16 39 42 45 15 14 45 36 16 21 22 35 13 15 40 25 16 33 13 32 37 30 48 35 30 39 
39 38 28 16 19 36 14 28 46 12 48 29 48 11 19 13 21 21 29 16 35 32 12 39 45 32 13 47 20 41 
