30 20 
90 70 60 64 57 51 71 72 73 76 88 74 61 73 96 69 87 92 97 80 
90 18 36 162 90 108 54 162 36 126 90 162 72 108 108 90 54 162 36 180 126 36 108 18 36 162 144 108 162 72 
11875 45075 15988 26464 37426 14244 20819 14977 48711 32109 20750 38017 39624 30994 15706 35155 37355 14719 27788 33624 32016 27871 18938 39550 36078 18792 21275 37536 14058 20707 
1 4 3 1 2 1 1 4 3 2 4 1 3 3 2 2 4 2 3 1 
3 2 4 3 1 3 2 1 1 3 4 3 3 3 3 2 1 4 2 3 
3 3 4 2 3 3 4 1 2 1 2 2 3 2 2 4 1 2 2 4 
1 1 2 3 4 3 2 4 3 2 2 2 4 2 3 4 4 4 2 1 
2 2 3 1 3 3 3 2 1 2 4 3 3 2 2 2 4 4 3 1 
4 2 4 2 4 1 1 4 4 2 3 1 3 2 4 1 3 1 4 4 
1 4 4 1 2 1 1 4 3 3 4 1 1 2 4 1 1 3 3 1 
3 2 4 4 2 1 2 3 1 2 2 4 1 3 1 2 3 4 3 1 
1 2 1 2 2 3 1 2 2 3 1 1 1 1 4 4 4 2 2 3 
4 4 1 2 3 1 4 1 4 1 2 1 2 1 2 1 3 1 3 1 
2 2 1 3 2 1 2 1 4 2 3 4 1 1 3 4 3 2 3 1 
3 1 2 3 3 4 2 1 1 4 4 2 4 4 2 1 2 1 1 1 
3 3 2 2 2 1 3 3 3 3 4 3 1 2 4 3 4 2 1 1 
4 4 3 4 3 2 4 1 1 3 1 1 1 2 1 1 4 2 1 3 
1 2 1 3 4 3 4 4 4 4 2 4 2 3 2 1 3 1 4 4 
2 1 3 3 2 2 2 4 4 4 1 4 4 3 4 2 3 4 3 1 
3 1 1 2 1 3 3 4 2 3 4 4 4 1 2 1 2 3 3 2 
2 1 1 4 1 4 4 3 3 1 1 2 1 1 2 4 1 3 2 3 
3 4 4 2 3 1 1 1 3 4 2 2 2 4 3 4 1 1 4 4 
3 3 3 2 1 3 3 2 4 4 4 1 1 4 3 2 1 3 4 1 
4 1 4 4 4 4 3 2 2 1 1 2 3 3 4 4 4 4 3 4 
1 4 3 4 4 2 3 1 1 2 1 3 1 3 3 2 3 2 4 1 
1 2 2 2 2 1 1 3 2 1 2 2 1 4 2 1 2 1 2 2 
3 3 4 1 4 4 2 3 3 3 4 1 1 4 4 3 4 1 4 1 
2 2 2 1 4 3 4 2 1 2 1 2 2 4 2 3 4 4 3 1 
3 1 2 4 3 1 3 1 4 4 3 1 4 2 2 2 3 3 1 4 
4 4 4 2 2 3 4 3 3 2 3 1 1 3 2 2 1 4 1 4 
2 2 1 4 2 3 1 4 1 3 3 3 3 3 3 1 2 1 2 4 
4 4 4 1 4 1 1 1 1 1 1 4 2 1 1 3 3 3 3 2 
4 3 4 4 1 4 2 1 2 3 3 3 4 3 2 1 4 1 4 2 
