20 20 
63 63 55 98 70 99 50 56 52 68 54 91 82 91 87 54 89 84 59 58 
240 72 216 48 72 96 72 240 96 240 96 216 168 168 120 144 144 168 96 48 
37185 17549 37212 39046 12498 21060 30011 48276 28159 22806 27256 20327 39514 30382 41348 28131 26760 39425 25076 29325 
4 4 2 1 2 4 2 1 2 4 1 4 2 1 3 1 4 4 3 1 
1 3 2 4 1 4 4 1 1 4 3 1 2 4 1 3 3 3 4 2 
4 1 3 1 1 3 2 3 1 1 1 4 1 1 1 3 2 4 4 4 
1 1 4 2 3 4 3 3 1 4 3 1 2 2 2 3 1 3 1 1 
4 1 3 1 3 1 2 3 1 4 1 1 3 3 2 2 3 1 2 3 
1 1 4 4 1 1 2 2 3 4 1 2 2 2 2 2 4 2 1 1 
3 3 3 2 3 2 2 1 1 4 2 4 3 1 3 3 1 1 1 1 
4 2 2 4 1 3 4 1 1 4 1 3 3 2 1 2 2 2 2 2 
4 2 3 4 4 1 3 2 4 4 3 3 4 3 4 4 3 1 4 1 
3 3 3 1 1 4 2 2 2 4 3 1 1 2 3 3 2 2 3 3 
4 1 1 2 4 2 4 3 2 1 4 3 4 1 4 2 3 2 3 1 
2 1 3 3 2 1 2 4 1 2 3 3 1 1 4 4 4 4 1 1 
2 1 2 1 3 4 2 3 4 4 2 3 1 2 1 1 1 1 3 3 
1 3 1 2 3 3 1 3 3 3 1 3 3 2 4 2 2 2 4 3 
2 4 2 1 4 4 2 3 1 1 3 4 3 2 1 1 4 2 2 2 
4 2 4 3 2 2 3 4 2 4 2 1 4 3 2 3 1 1 4 1 
3 4 1 4 2 4 1 4 3 4 1 4 3 1 4 3 4 3 3 1 
2 2 3 2 1 3 4 4 3 2 4 4 4 2 2 3 4 2 2 2 
3 3 2 1 1 3 2 3 3 3 4 3 1 2 4 3 2 4 3 4 
1 1 2 3 2 3 3 3 1 4 4 1 1 2 3 4 1 3 2 2 
