20 10 
99 81 69 51 54 96 71 51 52 79 
70 112 42 70 140 14 70 42 112 70 70 126 56 56 28 28 56 70 98 14 
20782 24631 21832 31431 48077 46418 21533 39049 15756 21361 31047 12124 15044 34657 37526 15459 30067 21815 26025 36768 
4 2 2 1 3 4 3 4 3 1 
3 2 1 1 1 4 2 1 1 3 
4 3 4 2 1 1 2 2 2 4 
4 1 4 3 2 3 2 1 3 4 
4 3 2 4 4 1 1 1 2 3 
1 1 2 2 3 1 4 1 4 4 
1 2 4 2 2 3 3 1 4 4 
4 4 3 1 4 4 1 1 2 2 
4 4 2 1 2 3 2 1 3 1 
3 3 2 3 3 4 3 3 2 4 
1 2 1 1 2 4 4 1 2 4 
2 2 1 4 4 3 2 3 4 3 
4 4 1 4 4 3 2 4 1 4 
2 4 3 4 1 3 2 3 2 2 
3 1 1 1 2 3 4 2 2 1 
3 2 2 2 3 1 4 2 1 1 
3 4 3 3 1 4 4 4 3 3 
1 1 4 4 1 1 1 3 1 3 
4 3 1 1 2 4 1 3 2 3 
4 2 3 3 4 2 1 2 1 4 
