30 10 
75 79 97 88 69 75 60 67 58 88 
72 18 54 90 9 18 18 27 90 9 9 9 27 18 63 90 9 81 18 45 27 45 81 90 81 27 72 72 63 36 
22252 20443 32254 38178 47455 30098 39684 27814 13116 12343 43472 24463 16807 38600 27500 12198 18215 14569 14939 15088 14541 19886 14563 36696 37375 34952 29132 17296 43963 16243 
1 4 1 4 3 3 4 4 3 3 
1 4 2 1 1 4 3 2 4 3 
1 2 4 1 4 3 3 2 1 2 
1 4 3 4 2 3 3 1 2 1 
1 4 2 2 3 2 2 3 4 1 
3 3 1 2 3 4 2 3 3 3 
1 3 1 1 4 1 4 4 3 1 
1 4 3 3 3 3 1 2 4 1 
3 1 4 3 4 2 2 4 2 3 
3 2 3 3 4 4 4 3 4 3 
1 3 2 1 3 4 4 3 3 2 
1 2 1 4 2 3 3 3 4 4 
3 3 1 1 4 2 2 3 2 4 
3 4 1 2 2 2 3 2 2 4 
2 3 2 4 2 4 2 1 3 1 
2 3 2 4 1 3 2 3 1 3 
3 1 1 4 3 1 4 1 1 3 
1 3 1 1 3 1 3 1 2 1 
3 3 2 3 3 4 3 2 1 2 
4 3 1 1 3 3 2 2 4 2 
3 3 3 3 3 4 1 1 2 1 
4 4 3 4 2 3 1 3 3 4 
4 4 4 2 1 3 3 2 3 2 
4 1 4 2 1 4 4 1 3 3 
1 4 1 2 4 1 4 2 2 3 
3 3 2 3 3 1 3 2 2 2 
4 2 1 1 1 4 1 4 3 2 
3 3 1 3 3 1 3 1 4 4 
4 1 1 2 2 2 2 2 2 1 
4 2 4 1 1 4 2 3 3 3 
