100 50 
61 83 76 86 68 84 66 89 70 86 60 71 81 93 70 83 96 68 79 98 92 86 84 66 54 52 93 54 71 59 90 57 65 58 83 93 51 74 77 65 86 70 55 56 56 78 60 64 70 86 
52 117 65 13 130 39 65 39 104 65 91 130 65 91 117 117 39 78 65 117 78 78 52 117 104 13 104 39 78 130 65 13 52 13 39 104 13 52 117 52 13 91 26 91 130 13 130 13 78 91 39 13 104 78 13 13 130 91 91 26 52 104 13 13 117 39 26 78 65 104 13 104 39 91 104 52 78 91 39 78 78 130 13 26 130 130 91 78 117 117 91 13 104 78 65 78 39 91 65 13 
23432 24339 24794 33688 15295 39426 35015 17408 13357 17398 17059 37308 44101 34906 28326 17466 49020 12081 48153 36821 38262 33575 32235 31821 15975 47652 25310 27069 26074 21970 48609 14028 13144 13292 34608 19631 29765 47860 14023 24990 14440 22163 20890 45900 29042 45761 19519 32520 12914 15523 41988 11447 49030 21341 24795 35145 34944 30140 44198 32325 27829 28525 40329 12239 49488 19625 11435 45077 13842 31468 30187 28898 46281 43586 20568 18338 30951 27853 40282 33529 12720 40052 44559 18758 27517 18768 18232 20166 36058 49797 47241 38374 44644 13018 10452 42367 16116 15102 30139 14017 
4 2 1 1 2 1 2 1 1 2 2 4 3 2 3 1 3 1 1 2 4 3 2 1 1 2 4 2 3 2 1 1 2 2 1 4 4 2 4 1 3 1 3 4 1 2 4 4 1 2 
1 1 2 2 4 1 3 1 1 4 2 2 3 4 2 3 4 4 2 2 3 2 3 2 2 3 4 4 3 2 1 2 4 3 1 3 3 3 4 1 2 4 1 2 4 2 3 3 2 3 
1 1 2 1 1 3 2 4 4 4 3 2 2 3 3 3 3 1 3 1 4 3 4 4 3 1 2 4 1 4 2 3 1 4 2 2 3 1 2 1 1 1 3 4 1 2 1 3 1 4 
2 2 4 3 2 1 2 2 1 2 3 1 3 2 2 3 2 1 1 2 4 3 1 3 4 3 1 2 3 4 3 4 4 1 2 3 2 3 2 2 1 3 3 4 3 2 3 2 1 1 
2 4 4 1 1 1 2 4 2 4 2 4 1 2 1 2 3 4 2 2 1 4 1 4 1 2 1 4 4 4 1 4 1 1 3 2 2 3 4 3 3 4 4 4 4 2 1 1 3 2 
3 1 2 3 1 2 4 1 3 1 4 2 4 3 1 3 3 1 1 3 1 3 3 2 2 4 1 1 1 4 3 1 4 1 1 3 2 3 3 3 3 3 4 3 3 1 2 2 1 1 
3 3 3 1 4 4 2 4 2 1 1 2 1 1 2 1 2 1 1 2 2 4 3 2 1 1 2 3 4 4 1 1 3 2 2 3 2 4 3 1 1 1 4 3 1 1 2 1 3 2 
