200 200 
77 70 53 59 91 92 94 63 70 51 64 59 72 50 87 69 54 92 74 91 54 71 62 95 57 51 59 69 80 95 61 80 62 98 90 68 56 82 82 76 92 88 50 95 83 68 96 53 72 89 88 59 72 51 68 54 53 80 59 79 91 70 64 96 53 92 67 72 97 85 79 68 76 79 58 92 94 93 66 79 70 73 60 59 77 85 78 84 82 84 63 62 72 89 89 57 84 95 86 74 71 78 96 57 73 81 93 90 78 92 52 79 69 79 68 82 91 91 84 93 59 64 55 90 53 90 56 98 55 87 75 88 88 66 87 67 79 79 74 73 84 83 75 75 87 77 76 61 96 55 83 99 67 69 54 81 60 83 74 90 86 83 55 98 60 56 86 60 70 96 66 71 89 87 96 96 64 99 80 95 85 83 72 63 70 78 91 65 73 68 96 66 92 58 61 60 67 68 56 99 
108 243 108 54 189 270 54 108 135 189 27 108 54 243 189 27 189 54 189 243 270 162 54 27 270 216 189 162 81 54 243 135 135 108 243 270 135 270 216 162 270 135 216 108 243 270 243 216 27 162 135 162 189 162 216 108 27 216 162 81 108 27 216 189 162 162 243 54 216 81 243 216 243 189 270 162 27 27 135 54 27 135 81 108 108 81 243 189 162 243 243 81 108 243 54 216 189 216 54 243 189 270 27 54 81 108 162 216 216 135 81 189 54 270 54 270 81 108 189 54 189 189 27 270 243 81 108 243 81 135 162 189 54 243 108 54 27 27 270 162 162 27 270 81 270 108 216 243 81 162 270 270 54 270 54 216 135 162 189 243 216 108 108 108 54 27 270 270 27 54 243 189 81 108 54 81 108 54 189 270 162 81 216 81 135 81 135 162 189 243 54 189 81 243 162 189 108 54 54 54 
25758 24256 11702 44782 46092 44602 39027 20529 36985 16918 23982 14899 49435 21120 12470 13482 27718 49003 21952 30990 10576 39162 33281 18576 29515 18283 47274 15381 22148 33066 47958 33614 45012 21589 28475 11624 32660 45773 23949 20270 44886 43073 21421 41134 46557 26581 33141 46754 24606 29167 16718 45304 18180 21983 17668 44195 35833 28352 44842 27333 30961 18587 28390 33519 41530 28097 29555 48800 42770 19301 27265 36510 15723 46266 48539 10870 11203 25361 23701 49738 44841 30443 27160 39581 42698 27033 42246 30045 22740 23974 27304 30914 31733 46831 12072 14914 49313 27158 41706 13648 15378 32252 24746 43364 41078 47064 49012 10548 14604 23940 41659 13917 41948 14239 17268 38238 18888 36687 30812 21950 36285 44508 45585 34224 19932 42871 46113 18865 13652 27558 34160 12948 17724 17954 16142 45645 25964 48939 11642 13830 41117 21029 46131 39983 10603 27955 46138 47111 32593 26769 32865 26669 27689 25854 29137 45630 26998 28675 34054 27367 31691 49272 18058 45076 36316 19845 25266 14861 38824 42990 34719 23040 39821 41276 48999 45433 21640 21223 45681 25469 37094 44078 36192 47835 20028 31381 13046 27255 24176 38096 36854 24737 37889 37279 47548 11042 16842 35896 11434 21270 
2 3 1 1 2 4 4 4 1 3 3 4 3 4 2 4 3 2 3 4 3 4 2 3 4 3 4 3 1 2 3 3 4 1 4 1 2 3 3 3 4 3 4 4 3 3 1 3 1 3 1 4 2 2 2 1 3 3 2 2 2 2 1 1 2 3 2 3 3 3 2 1 4 3 2 3 3 1 2 1 2 4 3 3 3 2 1 1 2 2 3 3 3 4 1 1 2 2 2 4 3 1 3 3 1 2 3 1 4 1 3 2 4 4 4 1 1 4 1 3 1 2 2 1 2 1 4 3 3 1 1 3 3 1 4 2 1 2 3 4 1 1 1 3 2 3 4 4 2 4 4 2 2 2 3 4 3 1 1 1 4 4 1 1 1 1 3 1 4 3 4 2 4 2 1 2 1 1 4 1 1 3 4 3 3 2 3 3 3 3 3 3 4 4 4 1 3 3 2 3 
4 2 3 4 3 1 2 3 4 4 3 2 3 2 3 1 2 4 1 4 1 3 2 3 3 1 4 4 2 2 4 4 2 3 3 2 4 1 2 2 2 3 1 4 4 2 4 4 2 2 4 3 1 2 2 2 2 2 1 4 1 3 2 4 2 4 2 1 3 4 2 2 3 3 1 4 1 3 3 2 4 2 4 4 2 1 4 4 4 4 4 1 2 4 2 2 3 2 1 3 1 2 3 1 2 2 1 4 1 4 1 4 4 2 2 3 1 3 3 2 1 3 2 1 1 1 4 4 2 1 4 4 3 4 4 1 1 1 4 4 4 1 4 4 2 4 3 3 4 1 1 2 2 2 2 2 1 2 2 1 2 3 4 4 1 1 2 3 1 3 3 2 3 2 1 1 2 3 3 3 4 3 3 1 1 1 2 1 2 1 3 3 1 3 4 3 1 2 3 3 
2 1 4 1 3 4 3 3 1 3 1 1 2 4 4 2 2 4 3 2 2 3 1 1 3 4 1 3 1 4 3 3 1 1 4 3 2 4 4 2 2 4 3 2 4 3 2 2 4 2 2 2 3 4 2 1 1 3 2 4 3 1 2 4 1 2 1 1 1 2 4 2 3 3 1 4 4 1 2 1 4 4 1 1 2 3 1 4 4 4 4 2 3 2 3 2 3 3 2 1 3 1 4 4 2 3 4 3 3 2 4 1 4 3 4 3 3 4 3 2 4 1 1 2 1 4 2 2 1 3 2 1 4 3 4 3 1 4 1 4 1 3 1 2 2 2 2 2 1 3 1 4 4 4 2 1 1 2 4 1 2 3 2 2 4 2 1 3 3 2 3 3 4 3 1 1 1 1 4 4 1 2 1 4 3 1 4 4 4 2 4 3 1 4 3 1 3 4 4 4 
4 4 3 3 1 3 4 2 4 1 2 4 3 4 1 2 4 1 2 4 4 1 2 2 4 2 1 1 3 4 4 3 2 3 1 1 3 2 3 4 1 4 2 2 4 1 3 4 3 3 3 4 4 3 2 4 4 4 4 1 2 3 1 1 2 2 4 1 1 2 4 2 4 4 4 1 1 4 3 2 2 1 3 3 4 1 1 2 4 4 1 3 2 2 2 3 2 2 4 4 2 1 3 3 2 4 1 1 3 1 2 4 1 4 2 2 1 1 1 3 4 1 4 1 4 4 2 2 4 2 2 1 2 2 3 4 1 4 2 3 3 4 1 3 4 3 3 3 4 4 2 4 4 4 4 1 1 4 1 2 4 4 2 4 1 4 3 1 1 2 1 1 3 4 3 1 2 2 4 3 3 4 1 1 2 1 2 2 2 1 2 1 3 4 2 4 4 1 1 1 
4 2 3 2 3 4 4 3 1 2 4 2 4 3 2 2 2 1 2 3 4 3 2 1 4 3 1 1 1 3 3 4 3 2 3 2 3 4 1 4 3 3 3 3 1 2 3 1 4 1 4 3 2 3 3 3 4 3 4 4 3 3 2 3 4 2 4 2 1 3 2 3 4 1 1 2 4 3 3 3 2 4 3 2 4 1 3 4 2 1 3 3 4 3 3 4 1 2 3 2 1 4 1 2 3 4 3 1 4 3 1 3 4 4 3 4 1 1 1 2 2 1 3 4 1 1 1 4 4 3 1 1 3 2 2 4 4 4 3 2 4 4 4 4 4 1 2 1 1 3 1 1 3 2 1 3 2 3 4 1 2 4 3 2 4 3 2 2 3 2 3 2 2 2 3 3 1 4 4 1 4 2 1 4 4 1 1 3 2 3 3 3 3 1 4 3 2 1 4 4 
2 1 3 4 3 3 2 4 4 4 3 3 4 2 1 1 4 3 2 2 4 2 3 2 2 3 2 4 2 4 4 1 1 1 1 3 3 4 2 3 4 1 4 1 3 1 3 4 4 2 2 3 4 3 2 2 3 2 1 2 3 2 2 3 1 2 3 4 4 2 3 3 4 1 3 3 1 4 3 1 3 1 4 3 3 4 2 2 2 1 2 1 1 4 1 3 2 4 2 1 4 4 4 2 3 2 1 4 2 4 1 1 3 3 4 2 3 4 4 4 1 4 3 4 3 1 4 1 3 1 4 4 1 2 4 3 4 3 1 3 3 2 4 1 1 1 1 2 4 4 2 4 4 1 1 3 4 1 3 2 2 4 2 4 4 4 1 1 4 2 3 3 1 1 2 2 4 2 1 3 4 3 2 2 1 3 2 1 4 3 3 3 3 4 2 2 1 4 2 2 
2 3 1 3 3 3 3 3 3 1 4 2 2 4 1 3 3 2 3 4 3 2 3 3 4 2 4 3 3 4 1 4 2 3 2 3 4 3 1 3 4 4 1 2 1 3 1 2 4 1 1 3 3 2 3 4 3 4 2 1 1 4 1 1 3 2 2 4 4 3 2 1 1 4 1 2 1 3 3 4 2 3 3 1 4 4 4 1 2 1 2 2 4 4 4 2 1 1 4 2 3 3 1 2 2 2 3 3 1 3 2 1 4 1 3 3 2 3 2 1 3 3 1 4 3 2 2 2 3 1 2 4 4 3 4 4 3 2 2 3 3 1 1 1 3 2 3 1 1 1 3 1 3 1 2 4 1 1 4 4 2 1 1 4 3 2 1 3 2 4 4 2 3 4 4 2 3 4 3 1 1 4 3 2 1 1 4 3 3 4 4 3 3 3 4 3 1 3 1 1 
